programId,level,location,exercise_count,count_within_tolerance_3,flag
pull,8,home,2,24,OK
pull,8,office,2,24,OK
pull,8,park,2,22,OK
pull,8,service,2,24,OK
pull,8,street,2,24,OK
pull,9,airport,2,26,OK
pull,9,gym,2,27,OK
pull,9,home,2,26,OK
pull,9,office,2,26,OK
pull,9,park,1,24,OK
pull,9,service,2,26,OK
pull,9,street,2,26,OK
pull,10,airport,5,32,OK
pull,10,gym,5,33,OK
pull,10,home,5,32,OK
pull,10,office,5,32,OK
pull,10,park,5,29,OK
pull,10,service,5,32,OK
pull,10,street,5,32,OK
pull,11,airport,3,34,OK
pull,11,gym,3,35,OK
pull,11,home,3,34,OK
pull,11,office,3,34,OK
pull,11,park,3,32,OK
pull,11,service,3,34,OK
pull,11,street,3,34,OK
pull,12,airport,8,39,OK
pull,12,gym,9,40,OK
pull,12,home,8,39,OK
pull,12,office,8,39,OK
pull,12,park,9,36,OK
pull,12,service,8,39,OK
pull,12,street,8,39,OK
pull,13,airport,9,45,OK
